"run","learner_id","steps_visited","steps_completed"
"1","000a49d0-39c8-4cef-848c-a37d3574d179",11,10
"1","000d0e2b-0b85-4cd5-bba9-d7a6e5ec638c",59,58
"1","00128ad3-7327-4a0e-be6e-43d6019bc3ba",2,2
"1","0018a0e6-3c79-435f-9f4a-cbe72fee2a8a",3,1
"1","0018a368-8b96-42ec-a2d9-4320e04f9df2",4,1
"1","00397e79-39b6-47b7-8f9f-0ef9319de95f",60,60
"1","003c6ec9-53ef-45ba-8848-0138e8abc24c",28,26
"1","00569457-5698-467f-9198-a7fa051a4bd2",60,59
"1","005b9875-6783-4b4c-aad0-1342b12593bb",60,60
"1","005d3271-1e96-4dc0-af7f-81e0a0226280",2,2
"1","0065f865-6f3c-46db-92b9-8645cc22fc1a",5,3
"1","0079d252-36d3-427f-b43c-b180bcc8eef0",56,56
"1","0079e635-4b12-4c79-a8b8-2907e3024563",60,60
"1","00866d74-c462-48c5-bdf3-33738682144a",4,3
"1","00940a25-edd1-412d-9a51-a570b1b0cee4",59,59
"1","00a39a9e-6643-403d-8a1d-d94a43c9f651",1,0
"1","00b54391-06da-43e5-a6e6-048f431534ee",32,29
"1","00c36af8-9600-48ac-baa1-7b65de392540",1,0
"1","00cd565c-fded-4ce5-b2e7-b851ab834a36",18,14
"1","00d63495-34b5-484c-b625-e1d042d783d7",6,5
"1","00de04d0-5903-4dd7-a9a5-7ea15bfc2400",19,19
"1","00e27474-1bef-4101-b499-49ba442ca463",60,60
"1","00e45c17-cee9-40e1-8047-1185911f4fff",3,0
"1","00ea830b-a7fe-4b7d-9e96-236a038211cd",20,19
"1","00fe2e30-4263-4782-8b3c-7557df07e8a4",39,39
"1","01004b72-d967-469f-84c4-5b4c9f18e3eb",1,0
"1","0114bd54-6020-4a5d-88e0-0740af54ad26",18,17
"1","011feb98-92b3-42a4-9824-d8ff5dd9456b",4,3
"1","01233a44-ade2-473a-9870-f06d4e697dc6",4,4
"1","01268744-d141-4b9e-bf8e-8b7b267a160a",2,1
"1","012ca932-1902-4a2a-ab43-02be1309ac50",60,60
"1","012fb1eb-6024-418a-a717-b0536f191d12",1,0
"1","0131b1ef-7a97-4c58-a945-28191ebb9ff7",60,60
