"run","learner_id","completed","steps_visited","steps_completed"
"1","160d6600-ea0e-4568-bfa9-5d7cd5b8e61b",0,1,0
"1","4dc22fed-63d4-4bf6-b162-bdf482e1ec38",0,0,0
"1","ecdd37db-0c75-496e-bff2-230553d0e38c",1,58,57
"1","988964c9-7410-40cc-addf-441f93e7a8b8",0,0,0
"1","f1493366-17a1-41b8-9de3-fbaad9d811d4",0,0,0
"1","25cc3b46-a955-4e2a-a71f-6b2025cc2787",1,26,25
"1","9c23a086-f6ba-4ee8-9f86-4ccb7d9db4bd",1,44,44
"1","8851dc49-028e-455f-b43e-924787bca7b3",1,12,7
"1","a59b0a12-af45-4a66-b4df-78d85efef44e",0,0,0
"1","198c1017-51f5-439d-b205-c82597af4cf7",0,4,0
"1","7a44b170-73f8-4863-8687-4f97934c8b0b",1,60,60
"1","6df7208e-c4ef-4e9f-944a-2b1be8ce2ab9",1,0,0
"1","48db4053-f869-413f-8e5e-c4e56ae9e2f0",1,60,60
"1","3fc06ecd-3ef8-4f45-90e5-250c23c0ff71",0,3,2
"1","39de7924-2081-4b93-ba01-4fbee1b20ab7",0,0,0
"1","f81961c4-a476-4a3e-846c-a7be19a8bebb",1,0,0
"1","d6e86b67-3644-482b-b381-da6321ed1e76",0,0,0
"1","987d5175-7217-401f-8535-539c747cfd1c",0,18,18
"1","5f50e6da-e423-429d-ac91-e920282dfba0",1,10,10
"1","b4ec022c-524a-4e0b-ae53-df68cd87f6ab",1,0,0
"1","44fd3724-8d78-4232-b3c6-82d345b44bf8",0,1,0
"1","9321d0e4-19db-4594-b4fe-3e4c3612c597",0,12,10
"1","b33d35bf-1b25-41bc-a70a-24043620990c",0,0,0
"1","23e5ea4f-58c9-4709-ada6-d47b38004f0b",0,2,1
"1","a4d27ac3-ebdf-42c6-b1f2-50731d71f1e6",0,0,0
"1","3a6b9fda-1ee4-4df5-b65b-2857e357fc4c",1,60,60
"1","80bd2b3a-320b-4d8b-aae9-970174cc72fb",0,18,7
"1","13e15ba9-1a46-4579-988c-3d41d5ddb059",1,60,48
"1","667f92ba-4037-456c-8127-b7f66d0ee1c3",0,0,0
"1","623cc9d9-d068-4230-b024-80f349027b05",1,60,60
"1","51c61184-822d-437a-b56e-a52a68da6e6e",0,3,3
"1","45fb1cc3-a66c-4ad2-a060-0c6966c6ec05",0,1,0
"1","0c46584a-5552-4947-b832-e748b625cf48",0,0,0
"1","a68fc363-c78a-4473-bc82-1803ee72934b",1,0,0
"1","685381fb-6a83-4b6a-b07b-84dccc089f8c",0,13,12
"1","c3ae5cd1-e223-41d4-88ca-3035081e9fd6",1,18,18
"1","0c70781f-3b78-4759-bd0a-e4a93e96ce64",0,0,0
"1","c4dea8c4-c99a-4240-a328-37437aaea2f9",1,12,12
"1","a2c31018-5125-4bde-9e79-0e89bf895028",0,39,39
"1","46f57719-54ab-4e6f-a714-8ccbf17329ce",0,39,30
"1","40f131c1-8022-4c80-b21a-b16dfcc24cd8",0,14,13
"1","f11ea240-33e5-4dcd-a1f8-08b8b6f2906c",0,0,0
"1","7d537902-765a-4a68-83b0-2ae986458951",0,2,2
"1","5b9b6f6c-db98-4424-ada8-977e654c94df",0,31,31
"1","db68d661-3b33-4497-90e7-e76ca7145cc3",1,60,59
"1","89aadd9b-3bc8-417c-8271-10143dcc71b1",0,0,0
"1","129dd197-ddf0-462b-8920-da6800c349ef",1,19,19
"1","03c961b5-a0dc-44c5-88c6-b9512a5fa3e6",0,0,0
"1","b37876da-e537-41fa-b876-55ab75fa3ea3",1,0,0
"1","e65d576c-7abd-4d62-afcc-0b25f6cd8eab",0,0,0
"1","da42e8db-933c-453c-bf2d-f5e9a975dd8c",0,18,16
"1","cb016011-a7be-4057-9e11-a2751d15088f",0,0,0
"1","e7dc43d0-af46-437e-89c6-10c55aa505ff",0,3,2
"1","45f4b078-5c0e-4e44-9c81-142d6f58a974",1,60,60
"1","b1823336-ad9f-4576-a704-55b4b0a20e52",1,60,60
"1","069dd824-2a80-497f-8251-7644808423cf",0,0,0
"1","40a84e81-7827-4265-9c38-1e1fe5c0b04f",0,19,18
"1","a58fb44a-3070-4b6f-8f98-660145d6d424",0,0,0
"1","d8d3f0a0-9ea1-4e94-b534-738237085086",0,12,12
"1","cf41b220-a878-482f-b2d3-7bc61ab73c44",1,60,60
"1","6e5dd7ab-3ac8-46ef-b153-ff0b6e5b1724",1,28,28
"1","c9644331-f8e7-4b49-bfc5-929004b291e9",0,0,0
"1","7ea30f20-34f4-4e10-a42e-048cd1967ed2",0,0,0
"1","e0a33d41-f8fe-465c-a748-ce7590cf2212",0,42,33
"1","6f95335a-dbda-4284-93f5-3cdac85c6de3",1,3,3
"1","2ffc611b-5a4e-4d9d-833c-8c321eae0d84",0,0,0
"1","883dbc58-dc9e-4077-bf27-d077d79fe8b2",0,0,0
"1","6d8f51ef-8d34-440b-b80b-f6e3f6c23d1f",0,0,0
"1","c99d573f-4a5d-4a04-9bbd-6b568eda5967",0,25,22
"1","fd342d4b-01fd-4e7f-9da5-3b3c2b04288a",0,0,0
"1","bd2f4c0a-0e16-421b-8408-622e98ff8f43",0,0,0
"1","78d4af85-8690-4886-9937-b218e813b6b1",1,60,40
"1","4bafe17f-4978-4d6c-9429-6918b8c92fa4",1,60,60
"1","64026225-74ab-412b-a996-b4fd7089dd44",0,0,0
"1","ba799c8b-8929-4347-b34e-dc2d369c9208",0,50,48
"1","c3a7a733-5405-4218-9f2e-a9c8a64a0395",0,7,7
"1","f2fa37c6-0324-4f78-8b77-76a1de1a2d33",0,0,0
"1","775aac34-60f7-4b70-a87e-e51816579a39",0,16,13
"1","f624000f-3d56-45b3-8a95-feb6c24c4404",1,60,60
"1","f347bc72-f6d6-44b9-bb72-a77d91b4c532",0,0,0
"1","1663ade7-7c68-4dab-9cae-5005b8e89745",0,0,0
"1","d119016a-e393-43af-915f-a0ca681d0699",0,0,0
"1","6240c87c-57c2-4987-9b60-f17b6f2a299c",1,60,60
"1","4392ff8b-140d-4bfd-9685-f271e36e00ce",0,8,5
"1","b17d6073-eef7-45b1-b776-d719c09e0792",0,4,4
"1","04ac104a-b513-42c8-bc6e-01131d07b1e5",0,18,18
"1","4686ef55-d86d-478a-8151-04bcdc829f46",0,22,19
"1","2e9fa854-a2e6-41cd-8e0b-b35cd7ba1e26",1,60,60
"1","6fbc44bd-c18f-4a1f-930c-1f82c243ec96",0,0,0
"1","fc0f7b5a-ebba-478b-aedf-63d71bdcc319",0,0,0
"1","05b8a96f-9de7-48cd-9bab-dedba666ac58",0,8,6
"1","73765fc4-878e-4430-a650-b5b2de616fd4",0,22,19
"1","59aeb74b-30d6-458d-8111-d22710e16523",1,0,0
"1","9f249cab-2182-4638-94fd-fb75fb164cc1",0,0,0
"1","2f1211e0-f4d6-423f-9a97-459cbac557d9",1,28,28
"1","be95b4e6-9d07-4904-9302-6a22d2ee78c3",0,0,0
"1","88726dc7-d420-49fa-924c-4a08ad23ea5b",0,0,0
"1","8741983d-97d8-4965-9481-d0687f08b931",1,60,60
