"run","leaving_reason","n"
"5","Other",50
"7","I don’t have enough time",33
"5","I don’t have enough time",24
"5","The course won’t help me reach my goals",23
"5","I prefer not to say",18
"5","The course was too hard",18
"5","The course required more time than I realised",17
"7","Other",15
"5","The course was too easy",13
"7","I prefer not to say",13
"5","The course wasn’t what I expected",10
"7","The course required more time than I realised",7
"7","The course wasn’t what I expected",5
"7","The course won’t help me reach my goals",4
"7","The course was too hard",2
"7","The course was too easy",1
